,id,sensor_id,timestamp,b_x,b_y,b_z,lat,lon
0,52214940,S20251008_105355_44180345587365_3,2025-10-16T11:18:02.394,30045.38,987.72,29805.13,0,0
1,52215000,S20251008_105355_44180345587365_3,2025-10-16T11:18:05.784,29965.3,1027.76,29805.13,0,0
2,52215060,S20251008_105355_44180345587365_3,2025-10-16T11:18:09.168,29991.99,1067.81,29751.74,0,0
3,52215120,S20251008_105355_44180345587365_3,2025-10-16T11:18:12.576,30058.73,987.72,29818.47,0,0
4,52215300,S20251008_105355_44180345587365_3,2025-10-16T11:18:01.544,29978.64,987.72,29805.13,0,0
5,52215360,S20251008_105355_44180345587365_3,2025-10-16T11:18:04.924,29978.64,1027.76,29765.08,0,0
6,52215420,S20251008_105355_44180345587365_3,2025-10-16T11:18:08.330,30005.34,1054.46,29765.08,0,0
7,52215480,S20251008_105355_44180345587365_3,2025-10-16T11:18:11.715,30032.04,961.03,29791.78,0,0
8,52215540,S20251008_105355_44180345587365_3,2025-10-16T11:18:15.125,29991.99,947.68,29845.17,0,0
9,52215600,S20251008_105355_44180345587365_3,2025-10-16T11:18:18.663,30005.34,1041.11,29738.39,0,0
10,52215660,S20251008_105355_44180345587365_3,2025-10-16T11:18:22.026,30005.34,1054.46,29725.04,0,0
11,52215720,S20251008_105355_44180345587365_3,2025-10-16T11:18:25.402,30058.73,961.03,29831.82,0,0
12,52215780,S20251008_105355_44180345587365_3,2025-10-16T11:18:28.770,29965.3,1001.07,29791.78,0,0
13,52215840,S20251008_105355_44180345587365_3,2025-10-16T11:18:32.136,29951.95,1014.42,29791.78,0,0
14,52215900,S20251008_105355_44180345587365_3,2025-10-16T11:18:35.506,30005.34,961.03,29858.52,0,0
15,52215960,S20251008_105355_44180345587365_3,2025-10-16T11:18:17.993,30045.38,1001.07,29791.78,0,0
16,52216020,S20251008_105355_44180345587365_3,2025-10-16T11:18:21.354,29965.3,1027.76,29805.13,0,0
17,52216080,S20251008_105355_44180345587365_3,2025-10-16T11:18:24.729,30018.69,920.98,29885.21,0,0
18,52216140,S20251008_105355_44180345587365_3,2025-10-16T11:18:28.097,30005.34,1001.07,29765.08,0,0
19,52216200,S20251008_105355_44180345587365_3,2025-10-16T11:18:31.459,29991.99,1001.07,29805.13,0,0
20,52216260,S20251008_105355_44180345587365_3,2025-10-16T11:18:34.825,30032.04,947.68,29858.52,0,0
21,52216320,S20251008_105355_44180345587365_3,2025-10-16T11:18:38.209,29978.64,1041.11,29765.08,0,0
22,52216380,S20251008_105355_44180345587365_3,2025-10-16T11:18:41.575,29965.3,1001.07,29805.13,0,0
23,52216440,S20251008_105355_44180345587365_3,2025-10-16T11:18:44.952,30005.34,1027.76,29778.43,0,0
24,52216500,S20251008_105355_44180345587365_3,2025-10-16T11:18:48.332,29965.3,961.03,29791.78,0,0
25,52216560,S20251008_105355_44180345587365_3,2025-10-16T11:18:51.713,30032.04,961.03,29791.78,0,0
26,52216620,S20251008_105355_44180345587365_3,2025-10-16T11:18:55.085,29978.64,1041.11,29791.78,0,0
27,52216680,S20251008_105355_44180345587365_3,2025-10-16T11:18:58.485,30005.34,1041.11,29805.13,0,0
28,52216740,S20251008_105355_44180345587365_3,2025-10-16T11:18:40.899,29978.64,1027.76,29805.13,0,0
