id,sensor_id,timestamp,b_x,b_y,b_z,lat,lon,alt,theta_x,theta_y,theta_z
111500280,S20251107_171944_OBS2_1,"2025-11-09 09:49:55.975000",31380.14,10838.23,32901.77,0.0,0.0,0.0,0.0,-0.81,1.56
111500040,S20251107_154804_OBS1_1,"2025-11-09 09:49:59.149000",23384.95,-10277.63,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111500700,S20251107_154804_OBS1_1,"2025-11-09 09:49:59.349000",23371.6,-10317.67,37453.29,0.0,0.0,0.0,0.13,2.19,0.0
111500340,S20251107_171944_OBS2_1,"2025-11-09 09:49:59.797000",31380.14,10798.19,32808.33,0.0,0.0,0.0,0.0,-0.81,1.56
111500100,S20251107_154804_OBS1_1,"2025-11-09 09:50:01.152000",23318.21,-10264.28,37533.37,0.0,0.0,0.0,0.13,2.19,0.0
111500760,S20251107_154804_OBS1_1,"2025-11-09 09:50:01.353000",23384.95,-10277.63,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111500160,S20251107_154804_OBS1_1,"2025-11-09 09:50:03.151000",23371.6,-10264.28,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111500820,S20251107_154804_OBS1_1,"2025-11-09 09:50:03.352000",23344.9,-10277.63,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111500400,S20251107_171944_OBS2_1,"2025-11-09 09:50:03.619000",31366.79,10838.23,32821.68,0.0,0.0,0.0,0.0,-0.81,1.56
111500220,S20251107_154804_OBS1_1,"2025-11-09 09:50:05.150000",23358.25,-10317.67,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111500880,S20251107_154804_OBS1_1,"2025-11-09 09:50:05.352000",23331.55,-10304.33,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111500520,S20251107_171944_OBS2_1,"2025-11-09 09:50:05.532000",31380.14,10864.92,32888.42,0.0,0.0,0.0,0.0,-0.81,1.56
111500940,S20251107_154804_OBS1_1,"2025-11-09 09:50:07.352000",23358.25,-10210.89,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111500460,S20251107_171944_OBS2_1,"2025-11-09 09:50:07.443000",31406.84,10851.58,32901.77,0.0,0.0,0.0,0.0,-0.81,1.56
111500580,S20251107_171944_OBS2_1,"2025-11-09 09:50:09.352000",31393.49,10851.58,32915.11,0.0,0.0,0.0,0.0,-0.81,1.56
111501000,S20251107_154804_OBS1_1,"2025-11-09 09:50:09.353000",23331.55,-10290.98,37560.07,0.0,0.0,0.0,0.13,2.19,0.0
111501480,S20251107_154804_OBS1_1,"2025-11-09 09:50:10.553000",23371.6,-10344.37,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111501060,S20251107_154804_OBS1_1,"2025-11-09 09:50:11.352000",23384.95,-10331.02,37573.41,0.0,0.0,0.0,0.13,2.19,0.0
111501240,S20251107_171944_OBS2_1,"2025-11-09 09:50:11.454000",31393.49,10878.27,32888.42,0.0,0.0,0.0,0.0,-0.81,1.56
111501540,S20251107_154804_OBS1_1,"2025-11-09 09:50:12.552000",23384.95,-10290.98,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111500640,S20251107_171944_OBS2_1,"2025-11-09 09:50:13.174000",31380.14,10811.53,32821.68,0.0,0.0,0.0,0.0,-0.81,1.56
111501120,S20251107_154804_OBS1_1,"2025-11-09 09:50:13.354000",23411.64,-10451.15,37626.8,0.0,0.0,0.0,0.13,2.19,0.0
111501600,S20251107_154804_OBS1_1,"2025-11-09 09:50:14.552000",23411.64,-10250.93,37586.76,0.0,0.0,0.0,0.13,2.19,0.0
111501300,S20251107_171944_OBS2_1,"2025-11-09 09:50:15.294000",31380.14,10798.19,32848.38,0.0,0.0,0.0,0.0,-0.81,1.56
111501180,S20251107_154804_OBS1_1,"2025-11-09 09:50:15.356000",23371.6,-10331.02,37600.11,0.0,0.0,0.0,0.13,2.19,0.0
111501660,S20251107_154804_OBS1_1,"2025-11-09 09:50:16.554000",23358.25,-10331.02,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111501720,S20251107_154804_OBS1_1,"2025-11-09 09:50:18.552000",23358.25,-10317.67,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111501360,S20251107_171944_OBS2_1,"2025-11-09 09:50:19.100000",31393.49,10851.58,32861.72,0.0,0.0,0.0,0.0,-0.81,1.56
111502200,S20251107_154804_OBS1_2,"2025-11-09 09:50:19.685000",16671.12,-10104.11,42258.41,0.0,0.0,0.0,0.13,2.19,0.0
111501780,S20251107_154804_OBS1_1,"2025-11-09 09:50:20.556000",23358.25,-10264.28,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111502020,S20251107_171944_OBS2_3,"2025-11-09 09:50:21.041000",27776.29,5485.85,34703.69,0.0,0.0,0.0,0.0,-0.81,1.56
111502260,S20251107_154804_OBS1_2,"2025-11-09 09:50:21.692000",16657.77,-10024.03,42218.37,0.0,0.0,0.0,0.13,2.19,0.0
111501840,S20251107_154804_OBS1_1,"2025-11-09 09:50:22.555000",23344.9,-10264.28,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111501420,S20251107_171944_OBS2_1,"2025-11-09 09:50:22.922000",31393.49,10811.53,32928.46,0.0,0.0,0.0,0.0,-0.81,1.56
111502320,S20251107_154804_OBS1_2,"2025-11-09 09:50:23.691000",16631.07,-9997.33,42205.02,0.0,0.0,0.0,0.13,2.19,0.0
111501900,S20251107_154804_OBS1_1,"2025-11-09 09:50:24.554000",23344.9,-10290.98,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111502080,S20251107_171944_OBS2_3,"2025-11-09 09:50:24.858000",27762.95,5499.2,34770.43,0.0,0.0,0.0,0.0,-0.81,1.56
111502380,S20251107_154804_OBS1_2,"2025-11-09 09:50:25.695000",16644.42,-10050.72,42218.37,0.0,0.0,0.0,0.13,2.19,0.0
111501960,S20251107_154804_OBS1_1,"2025-11-09 09:50:26.561000",23358.25,-10277.63,37493.33,0.0,0.0,0.0,0.13,2.19,0.0
111502740,S20251107_171944_OBS2_2,"2025-11-09 09:50:26.971000",28577.15,5926.32,35798.19,0.0,0.0,0.0,0.0,-0.81,1.56
111502440,S20251107_154804_OBS1_2,"2025-11-09 09:50:27.689000",16657.77,-10077.42,42164.98,0.0,0.0,0.0,0.13,2.19,0.0
111502140,S20251107_171944_OBS2_3,"2025-11-09 09:50:28.711000",27776.29,5419.11,34676.99,0.0,0.0,0.0,0.0,-0.81,1.56
111502500,S20251107_154804_OBS1_2,"2025-11-09 09:50:29.691000",16537.64,-9903.9,42231.71,0.0,0.0,0.0,0.13,2.19,0.0
111503160,S20251107_154804_OBS1_1,"2025-11-09 09:50:29.957000",23411.64,-10290.98,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111502800,S20251107_171944_OBS2_2,"2025-11-09 09:50:30.813000",28630.54,5912.97,35811.54,0.0,0.0,0.0,0.0,-0.81,1.56
111502560,S20251107_154804_OBS1_2,"2025-11-09 09:50:31.691000",16617.72,-9970.64,42258.41,0.0,0.0,0.0,0.13,2.19,0.0
